id	name	country	latitude	longitude
159	MAR2-3	FRA	47.35	3.93333
265	PYL-6	FRA	44.65	-1.16667
403	Zdarec3	CZE	49.3667	16.2667
763	Kar-1	KGZ	42.3	74.3667
765	Sus-1	KGZ	42.1833	73.4
766	Dja-1	KGZ	42.5833	73.6333
768	Zal-1	KGZ	42.8	76.35
772	Neo-6	TJK	37.35	72.4667
801	KYC-33	USA	37.9169	-84.4639
915	LIN	USA	41.8972	-71.4378
932	CHA-41	USA	42.3634	-71.1445
1552	Sku-30	SWE	63.0833	18.3667
1890	MNF-Riv-21	USA	43.5139	-86.1859
1954	MNF-Jac-12	USA	43.5187	-86.1739
2317	Ste-40	USA	42.03	-86.514
4958	UKSW06-360	UK	50.5	-4.5
5151	UKSE06-325	UK	52.2	-1.7
5165	UKSE06-362	UK	51.3	0.4
5349	UKSE06-639	UK	51.1	0.4
5353	UKNW06-003	UK	54.5	-3
5486	UKNW06-233	UK	54.6	-3.3
5577	UKNW06-403	UK	54.7	-3.4
5741	For-2	UK	56.6	-4.1
5768	UKID63	UK	54.1	-1.5
5772	Set-1	UK	54.1	-2.3
5779	UKID74	UK	51	-3.1
5784	Ty-1	UK	56.4	-5.2
5800	UKID96	UK	57.4	-5.5
5811	UKID107	UK	52.9	-3.1
5856	Dör-10	SWE	63.0167	17.4914
6008	Duk	CZE	49.1	16.2
6025	Gro-3	SWE	62.6437	17.7339
6040	Kni-1	SWE	55.66	13.4
6042	Lom1-1	SWE	56.09	13.9
6073	ÖMö1-7	SWE	56.1481	15.8155
6074	Ör-1	SWE	56.4573	16.1408
6085	Sparta-1	SWE	55.7097	13.2145
6090	T1000	SWE	55.6525	13.2197
6092	T1020	SWE	55.6514	13.2233
6094	T1040	SWE	55.6494	13.2147
6097	T1070	SWE	55.6481	13.2264
6098	T1080	SWE	55.6561	13.2178
6099	T1090	SWE	55.6575	13.2386
6105	T450	SWE	55.7967	13.1211
6106	T460	SWE	55.7931	13.1186
6107	T470	SWE	55.7942	13.1222
6108	T480	SWE	55.7989	13.1206
6109	T510	SWE	55.7936	13.1233
6111	T530	SWE	55.7989	13.1219
6112	T540	SWE	55.7967	13.1044
6114	T570	SWE	55.8097	13.1342
6115	T580	SWE	55.8	13.1367
6122	T670	SWE	55.8364	13.3075
6125	T710	SWE	55.8403	13.3106
6126	T720	SWE	55.8411	13.3047
6128	T740	SWE	55.8397	13.2881
6131	T780	SWE	55.8369	13.3181
6132	T790	SWE	55.8386	13.3186
6133	T800	SWE	55.8364	13.2906
6134	T810	SWE	55.8383	13.2906
6136	T840	SWE	55.9336	13.5519
6137	T850	SWE	55.9419	13.5603
6138	T860	SWE	55.9403	13.5511
6140	T880	SWE	55.9392	13.5539
6142	T900	SWE	55.9428	13.5558
6145	T930	SWE	55.9497	13.5533
6148	T960	SWE	55.9319	13.5508
6149	T970	SWE	55.9281	13.5481
6150	T980	SWE	55.9261	13.5319
6151	T990	SWE	55.6528	13.2244
6169	TÅD	SWE	62.8714	18.3447
6172	TÅD	SWE	62.8717	18.3436
6173	TÅD	SWE	62.8717	18.3419
6174	TÅD	SWE	62.8719	18.3422
6177	TÄL	SWE	62.6322	17.69
6180	TÄL	SWE	62.6322	17.6906
6184	TBÖ	SWE	62.8892	18.4522
6188	TDr-1	SWE	55.7683	14.1386
6189	TDr-2	SWE	55.7686	14.1383
6191	TDr-4	SWE	55.7689	14.1375
6192	TDr-5	SWE	55.7692	14.1369
6193	TDr-7	SWE	55.7694	14.1347
6194	TDr-8	SWE	55.7706	14.1342
6195	TDr-9	SWE	55.7708	14.1342
6198	TDr-13	SWE	55.7708	14.1331
6201	TDr-16	SWE	55.7719	14.1211
6202	TDr-17	SWE	55.7717	14.1206
6203	TDr-18	SWE	55.7714	14.1208
6209	TEDEN	SWE	62.8836	18.1842
6210	TEDEN	SWE	62.8839	18.1836
6216	TFÄ	SWE	63.0167	18.3283
6217	TFÄ	SWE	63.0169	18.3283
6218	TFÄ	SWE	63.0172	18.3283
6235	TOM	SWE	62.9611	18.3589
6243	Tottarp-2	SWE	56.27373	13.90045
6244	TRÄ	SWE	62.9169	18.4728
6680	ANH-1	GER	51.85	6.4333
6897	Ag-0	FRA	45	1.3
6898	An-1	BEL	51.2167	4.4
6911	Cvi-0	CPV	15.1111	-23.6167
6915	Ei-2	GER	50.3	6.3
6929	Kondara	TJK	38.48	68.49
6938	Ms-0	RUS	55.7522	37.6322
6940	Mz-0	GER	50.3	8.3
6945	Nok-3	NED	52.24	4.45
6958	Ra-0	FRA	46	3.3
6961	Se-0	ESP	38.3333	-3.53333
6963	Sorbo	TJK	38.35	68.48
6979	Wei-0	SUI	47.25	8.26
6986	Abd-0	UK	57.1539	-2.2207
6987	Ak-1	GER	48.0683	7.62551
6989	Alst-1	UK	54.8	-2.4333
6990	Amel-1	NED	53.448	5.73
6992	Ang-0	BEL	50.3	5.3
6997	Appt-1	NED	51.8333	5.5833
7000	Aa-0	GER	50.9167	9.57073
7002	Baa-1	NED	51.3333	6.1
7003	Bs-1	SUI	47.5	7.5
7008	Benk-1	NED	52	5.675
7013	Bd-0	GER	52.4584	13.287
7014	Ba-1	UK	56.5459	-4.79821
7025	Bl-1	ITA	44.5041	11.3396
7026	Boot-1	UK	54.4	-3.2667
7028	Bch-1	GER	49.5166	9.3166
7031	Bsch-0	GER	50.0167	8.6667
7036	Bu-0	GER	50.5	9.5
7062	Ca-0	GER	50.2981	8.26607
7063	Can-0	ESP	29.2144	-13.4811
7071	Chat-1	FRA	48.0717	1.33867
7072	Chi-0	RUS	53.7502	34.7361
7077	Co-1	POR	40.12	-8.25
7081	Co	POR	40.2077	-8.42639
7092	Com-1	FRA	49.416	2.823
7102	Do-0	GER	50.7224	8.2372
7106	Dr-0	GER	51.051	13.7336
7117	El-0	GER	51.5105	9.68253
7125	Er-0	GER	49.5955	11.0087
7126	Es-0	FIN	60.1997	24.5682
7127	Est	GER	58.6656	24.9871
7130	Et-0	FRA	44.6447	2.56481
7133	Fr-2	GER	50.1102	8.6822
7143	Gel-1	NED	51.0167	5.86667
7147	Gie-0	GER	50.584	8.67825
7162	Hs-0	GER	52.24	9.44
7163	Ha-0	GER	52.3721	9.73569
7164	Hau-0	DEN	55.675	12.5686
7165	Hn-0	GER	51.3472	8.28844
7169	Hh-0	GER	54.4175	9.88682
7181	Je-0	GER	50.927	11.587
7186	Kn-0	LTU	54.8969	23.8924
7203	Krot-0	GER	49.631	11.5722
7207	Kyoto	JPN	35.0085	135.752
7208	Lan-0	UK	55.6739	-3.78181
7209	La-0	POL	52.7333	15.2333
7217	Lm-2	FRA	48	0.5
7218	Le-0	NED	52.1611	4.49015
7244	Mnz-0	GER	50.001	8.26664
7250	Me-0	GER	51.9183	10.1138
7255	Mh-0	POL	50.95	7.5
7268	Np-0	GER	52.6969	10.981
7273	No-0	GER	51.0581	13.2995
7276	Ob-0	GER	50.2	8.5833
7280	Old-1	GER	53.1667	8.2
7282	Or-0	GER	50.3827	8.01161
7287	Ove-0	GER	53.3422	8.42255
7288	Oy-0	NOR	60.385543	6.193019
7296	Petergof	RUS	59	29
7298	Pi-0	AUT	47.04	10.51
7305	Pt-0	GER	53.476	10.6065
7307	Pn-0	FRA	48.0653	-2.96591
7316	Rhen-1	NED	51.9667	5.56667
7323	Rubezhnoe-1	UKR	49	38.28
7333	Sei-0	ITA	46.5438	11.5614
7337	Si-0	GER	50.8738	8.02341
7343	Sp-0	GER	52.5339	13.181
7346	Ste-0	GER	52.6058	11.8558
7347	Stw-0	RUS	52	36
7353	Tha-1	NED	52.08	4.3
7354	Ting-1	SWE	56.5	14.9
7372	Tscha-1	AUT	47.0748	9.9042
7373	Tsu-0	JPN	34.43	136.31
7378	Uk-1	GER	48.0333	7.7667
7384	Ven-1	NED	52.0333	5.55
7394	Wa-1	POL	52.3	21
7404	Wc-1	GER	52.6	10.0667
7411	Wl-0	GER	47.9299	10.8134
7415	Wu-0	GER	49.7878	9.9361
7416	Yo-0	USA	37.45	-119.35
7419	Db-1	GER	50.3058	8.32213
7430	Nc-1	FRA	48.6167	6.25
7477	WAR	USA	41.7302	-71.2825
8214	Gy-0	FRA	49	2
8227	THÖ	SWE	62.7989	17.9103
8230	Algutsrum	SWE	56.68	16.5
8231	Brö1-6	SWE	56.3	16
8234	Gul1-2	SWE	56.4606	15.8127
8235	Hod	CZE	48.8	17.1
8236	HSm	CZE	49.33	15.76
8237	Kävlinge-1	SWE	55.8	13.1
8240	Kulturen-1	SWE	55.705	13.196
8241	Liarum	SWE	55.9473	13.821
8242	Lillö-1	SWE	56.1494	15.7884
8243	PHW-2	ITA	43.7703	11.2547
8244	PHW-34	FRA	48.6103	2.3086
8246	NC-6	USA	35	-79.18
8247	San-2	SWE	56.07	13.74
8249	Vimmerby	SWE	57.7	15.8
8264	Bla-1	ESP	41.6833	2.8
8311	In-0	AUT	47.5	11.5
8312	Is-0	GER	50.5	7.5
8337	Mir-0	ITA	44	12.37
8343	Na-1	FRA	47.5	1.5
8351	Ost-0	SWE	60.25	18.37
8354	Per-1	RUS	58	56.3167
8357	Pla-0	ESP	41.5	2.25
8365	Rak-2	CZE	49	16
8376	Sanna-2	SWE	62.69	18
8387	St-0	SWE	59	18
8420	Kelsterbach-4	GER	50.0667	8.5333
9057	Vinslöv	SWE	56.1	13.9167
9058	Västervik	SWE	57.75	16.6333
9098	Istisu-8	AZE	38.9786	48.5594
9115	Lag2-10	GEO	41.8296	46.2831
9121	Bak-5	GEO	41.7942	43.4767
9125	Geg-14	ARM	40.1408	44.8203
9298	Edinburgh-1	UK	55.9681	-3.21833
9314	Gol-2	UK	57.9672	-3.96722
9332	Bar	SWE	62.8698	18.381
9336	Bön	SWE	62.8794	18.4473
9339	Böt	SWE	57.7133	15.0689
9343	Dja	SWE	57.3089	18.1512
9363	EdJ	SWE	62.9147	18.4045
9371	FäL	SWE	63.016	18.3175
9380	FlyA	SWE	55.7488	13.3742
9394	Hag-2	SWE	56.5804	16.4063
9399	Ham-1	SWE	55.4234	13.9905
9402	Hel-3	SWE	57.8765	14.8549
9408	Kal	SWE	56.047	13.9519
9409	Kia	SWE	56.0573	14.302
9416	Kru-3	SWE	57.7215	18.3837
9421	Lan	SWE	55.9745	14.3997
9427	Näs	SWE	62.8815	18.4055
9470	Tur-4	SWE	57.6511	14.8043
9481	Yst-1	SWE	55.4242	13.8484
9503	11C1	UK	55.8877	-3.21072
9506	IP-Alo-0	POR	40.11	-7.47
9507	IP-Coa-0	POR	38.45	-7.5
9508	IP-Mos-1	POR	40.04	-7.11
9509	IP-Reg-0	POR	39.29	-7.4
9510	IP-Rei-0	POR	38.75	-7.59
9511	IP-Vav-0	POR	38.53	-8.02
9512	IP-Vid-1	POR	38.22	-7.84
9513	IP-Adc-5	ESP	38.77	-4.07
9514	IP-Adm-0	ESP	39.15	-4.54
9515	IP-Ala-0	ESP	39.72	-6.89
9517	IP-All-0	ESP	42.19	-7.8
9518	IP-Alm-0	ESP	39.88	-0.36
9519	IP-Ang-0	ESP	41.94	2.64
9520	IP-Ara-4	ESP	41.7	-3.68
9521	IP-Bar-1	ESP	41.43	2.13
9522	IP-Bea-0	ESP	36.52	-5.27
9523	IP-Ben-0	ESP	38.37	-2.66
9524	IP-Ber-0	ESP	42.52	-0.56
9525	IP-Bis-0	ESP	42.49	0.54
9526	IP-Cab-3	ESP	41.54	2.39
9527	IP-Cad-0	ESP	40.37	-5.74
9528	IP-Cal-0	ESP	40.94	-1.37
9529	IP-Cap-1	ESP	36.97	-3.36
9530	IP-Car-1	ESP	38.25	-4.32
9531	IP-Cdc-3	ESP	41.21	-4.54
9532	IP-Cdo-0	ESP	42.23	-4.64
9533	IP-Cem-0	ESP	41.15	-4.32
9534	IP-Cmo-3	ESP	40.05	-4.65
9535	IP-Coc-1	ESP	42.31	3.19
9536	IP-Cor-0	ESP	40.83	-2
9537	IP-Cum-1	ESP	38.07	-6.66
9539	IP-Deh-1	ESP	40.29	-6.67
9540	IP-Elb-0	ESP	41.81	2.34
9541	IP-Fue-2	ESP	38.26	-5.42
9542	IP-Fun-0	ESP	40.79	-4.05
9543	IP-Gra-0	ESP	36.77	-5.39
9544	IP-Gua-1	ESP	39.4	-5.33
9545	IP-Her-12	ESP	39.4	-5.78
9546	IP-Hom-4	ESP	40.82	-1.68
9547	IP-Hor-0	ESP	41.67	2.62
9548	IP-Hoy-0	ESP	40.4	-5
9549	IP-Hum-2	ESP	42.23	-3.69
9551	IP-Jim-1	ESP	42.28	-5.92
9553	IP-Ldd-0	ESP	41.58	-4.71
9554	IP-Lso-0	ESP	38.86	-3.16
9555	IP-Mar-1	ESP	39.58	-3.93
9556	IP-Men-2	ESP	39.66	-4.34
9557	IP-Moa-0	ESP	42.46	0.7
9558	IP-Moc-11	ESP	41.57	-5.64
9559	IP-Mon-5	ESP	38.06	-4.38
9560	IP-Mot-0	ESP	38.19	-6.24
9561	IP-Mun-0	ESP	40.71	-5.04
9562	IP-Mur-0	ESP	41.67	2
9564	IP-Nog-17	ESP	40.45	-1.6
9565	IP-Orb-10	ESP	42.97	-1.23
9567	IP-Pal-0	ESP	42.34	1.3
9569	IP-Pds-1	ESP	42.87	-6.45
9571	IP-Pro-0	ESP	43.28	-6.01
9573	IP-Rds-0	ESP	41.86	2.99
9574	IP-Rel-0	ESP	38.6	-2.7
9576	IP-Rev-0	ESP	40.86	-4.11
9577	IP-Ria-0	ESP	42.34	2.17
9578	IP-Sac-0	ESP	42.13	-6.7
9579	IP-San-10	ESP	38.33	-3.51
9581	IP-Sdv-3	ESP	42.84	-5.12
9582	IP-Ses-0	ESP	41.48	-1.63
9583	IP-Sne-0	ESP	37.09	-3.38
9584	IP-Stp-0	ESP	41.19	-3.58
9585	IP-Svi-0	ESP	43.4	-7.39
9586	IP-Tam-0	ESP	41.03	-3.27
9587	IP-Tdc-0	ESP	41.5	-1.88
9588	IP-Tol-7	ESP	42.11	0.6
9589	IP-Tor-1	ESP	41.6	-2.83
9590	IP-Trs-0	ESP	43.37	-5.49
9591	IP-Vad-0	ESP	42.86	-3.59
9593	IP-Vaz-0	ESP	42.26	-2.99
9594	IP-Vdm-0	ESP	42.04	1.01
9595	IP-Vdt-0	ESP	40.89	-5.5
9596	IP-Ver-5	ESP	41.95	-7.45
9597	IP-Vig-1	ESP	42.31	-2.53
9598	IP-Vim-0	ESP	41.88	-6.51
9599	IP-Vin-0	ESP	42.8	-5.77
9600	IP-Vis-0	ESP	39.85	-6.04
9601	IP-Voz-0	ESP	41.85	-1.88
9602	IP-Vpa-1	ESP	40.5	-3.96
9606	Aitba-1	MAR	31.48	-7.45
9609	Adam-1	RUS	51.41	59.98
9610	Lesno-4	RUS	53.04	51.96
9611	Lesno-1	RUS	53.04	51.9
9612	Lesno-2	RUS	53.04	51.94
9615	Parti-1	RUS	52.99	52.16
9616	Krazo-1	RUS	53.06	51.96
9619	Basta-1	RUS	51.84	79.48
9622	Bijisk-4	RUS	52.52	85.27
9625	Kolyv-2	RUS	51.31	82.59
9626	Kolyv-3	RUS	51.36	82.59
9629	K-oze-1	RUS	51.35	82.18
9630	K-oze-3	RUS	51.34	82.16
9631	Lebja-1	RUS	51.65	80.79
9632	Lebja-2	RUS	51.67	80.82
9634	Masl-1	RUS	54.13	81.31
9635	Nosov-1	RUS	51.87	80.6
9636	Noveg-1	RUS	51.75	80.82
9637	Noveg-2	RUS	51.77	80.85
9638	Noveg-3	RUS	51.73	80.86
9640	Rakit-1	RUS	51.87	80.06
9641	Rakit-2	RUS	51.9	80.06
9642	Rakit-3	RUS	51.84	80.06
9643	Sever-1	RUS	52.1	79.31
9644	Zupan-1	CRO	45.07	18.72
9645	Gradi-1	CRO	45.17	18.7
9647	Basen-1	ITA	40.37	16.77
9649	Bivio-1	ITA	39.13	16.17
9651	Filet-1	ITA	40.68	14.87
9653	Giffo-1	ITA	38.44	16.13
9656	Marti-1	ITA	40.64	17.31
9657	Melic-1	ITA	38.45	16.04
9659	Pigna-1	ITA	41.18	14.18
9660	Sarno-1	ITA	40.84	14.57
9661	Cimin-1	ITA	39.58	16.21
9663	Teano-1	ITA	41.33	14.09
9697	Dolen-1	BUL	41.62	23.94
9698	Goced-1	BUL	41.57	23.85
9699	Kolar-1	BUL	41.37	23.14
9701	Ivano-1	BUL	43.7	25.91
9705	Choto-1	BUL	41.5	23.33
9706	Dospa-1	BUL	41.64	24.18
9707	Podvi-1	BUL	41.57	24.84
9708	Kardz-1	BUL	41.62	25.35
9713	Stara-1	BUL	42.49	25.61
9714	Grivo-1	BUL	41.84	25.75
9716	Leska-1	BUL	41.54	24.98
9717	Kardz-2	BUL	41.66	25.47
9718	Smolj-1	BUL	41.55	24.75
9719	Koren-1	BUL	41.83	25.69
9720	Malak-1	BUL	41.77	25.68
9722	Groch-1	BUL	41.71	24.41
9723	Slavi-2	BUL	41.42	23.67
9725	Epidauros-1	GRC	37.6	23.08
9726	Faneronemi-3	GRC	37.07	22.04
9732	Halca-1	SVK	48.47	18.96
9736	Teiu-2	ROU	44.69	25.17
9737	Ulies-1	ROU	45.95	22.62
9738	Bran-1	ROU	45.57	25.42
9739	Toc-1	ROU	46.01	22.33
9741	Orast-1	ROU	45.84	23.16
9743	Furni-1	ROU	45.14	25
9744	Iasi-1	ROU	47.16	27.59
9747	Zabar-1	SRB	44.38	21.22
9748	Zagub-1	SRB	44.23	21.71
9749	Knjas-1	SRB	43.54	22.29
9754	Sredn-1	SRB	44.66	21.37
9755	Vajug-1	SRB	44.56	22.56
9758	Altai-5	CHN	47.75	88.4
9759	Anz-0	IRN	37.47	49.47
9761	Bik-1	LBN	33.92	35.7
9762	Etna-2	ITA	37.69	14.98
9764	Qar-8a	LBN	34.1	35.84
9766	Westkar-4	KGZ	42.26	74.16
9769	HE-1	GER	48.55	8.99
9771	Pfn-N2.2-6	GER	48.56	9.11
9772	Höf-1	GER	48.41	8.85
9774	Alt-1	GER	48.59	9.22
9775	Berg-1	GER	48.41	8.79
9777	Gn-1	GER	48.57	9.17
9779	Bai-10	GER	48.5	8.78
9781	Kus2-2	GER	48.52	9.11
9782	Lu3-30	GER	48.53	9.09
9784	Erg2-6	GER	48.5	8.8
9787	HI-4	GER	48.5	9
9789	Obh-13	GER	48.39	8.96
9790	Gn2-3	GER	48.58	9.18
9791	Haes-1	GER	48.6	9.2
9795	Wank-2	GER	48.5	9.11
9799	Hart-2	GER	48.39	8.85
9802	Kus3-1	GER	48.51	9.11
9803	Müh-2	GER	48.42	8.76
9804	Obe1-15	GER	48.45	8.87
9807	Schl-7	GER	48.6	9.22
9810	Tü-KS-7	GER	48.53	9.07
9812	Tü-W1	GER	48.52	9.03
9813	BI-4	GER	48.4	8.77
9814	Fell1-10	GER	48.42	8.79
9817	Ace-0	ESP	39.84	-6.6
9819	Amu-0	ESP	42.35	-3.03
9820	Are-0	ESP	41	-4.71
9821	Aru-0	ESP	41.81	2.49
9822	Aul-0	ESP	40.52	-4.02
9823	Bae-0	ESP	43.34	-5.84
9825	Boa-0	ESP	40.4	-3.88
9826	Bor-0	ESP	42.49	-6.71
9827	Bos-0	ESP	42.78	0.69
9828	Bra-0	ESP	42.5	-6.15
9830	Bus-0	ESP	36.97	-3.28
9831	Cas-0	ESP	38.54	-3.39
9832	Cat-0	ESP	40.54	-3.69
9833	Cha-0	ESP	40.38	-4.21
9834	Cho-0	ESP	40.51	-3.9
9835	Cir-0	ESP	40.61	-6.57
9836	Cod-0	ESP	41.25	-1.32
9837	Con-0	ESP	37.94	-5.6
9838	Cot-0	ESP	41.83	-5.38
9839	Coy-0	ESP	40.44	-4.27
9840	Dar-0	ESP	41.13	-1.43
9841	Ees-0	ESP	40.59	-4.15
9843	Elp-0	ESP	40.53	-3.92
9845	Evs-0	ESP	40.48	-3.96
9846	Ezc-2	ESP	42.31	-3.02
9847	Fel-2	ESP	43.31	-5.7
9848	Glo-1	ESP	40.11	-5.77
9849	Gud-3	ESP	40.65	-4.11
9850	Hec-0	ESP	42.86	-0.7
9852	Ini-0	ESP	40.46	-3.75
9853	Lac-0	ESP	43.33	-5.91
9854	Laf-1	ESP	43.36	-5.88
9855	Lam-0	ESP	40.57	-3.89
9866	Mdd-0	ESP	41.89	-2.79
9867	Mie-1	ESP	40.94	-3.22
9868	Moe-0	ESP	41.78	2.37
9869	Moj-0	ESP	36.76	-5.28
9870	Moz-0	ESP	41.91	0.17
9871	Nac-0	ESP	40.75	-3.99
9873	Ndc-0	ESP	37.94	-5.45
9874	Oja-0	ESP	42.34	-3
9875	Ovi-1	ESP	43.38	-5.87
9876	Pad-0	ESP	41.34	0.99
9878	Pee-0	ESP	40.78	-3.62
9879	Per-0	ESP	37.6	-1.12
9880	Pib-1	ESP	42.72	-3.44
9881	Pie-0	ESP	40.46	-5.32
9882	Pil-0	ESP	40.46	-4.26
9883	Piq-0	ESP	42.1	-2.56
9885	Prd-0	ESP	41.14	-3.68
9886	Pru-0	ESP	42.38	1.73
9887	Pun-0	ESP	40.4	-4.77
9888	Pva-1	ESP	40.93	-3.31
9890	Rib-1	ESP	43.16	-5.07
9891	Sal-0	ESP	41.93	2.92
9892	Sam-0	ESP	42.68	-6.96
9894	Sen-0	ESP	42.59	0.76
9895	Sfb-6	ESP	41.78	2.57
9897	Smt-1	ESP	40.95	-5.63
9898	Som-0	ESP	41.14	-3.58
9899	Tau-0	ESP	42.54	0.84
9900	Tri-0	ESP	37.38	-6.01
9901	Urd-1	ESP	42.27	-2.98
9902	Usa-0	ESP	40.71	-3.24
9903	Val-0	ESP	42.31	-3.1
9904	Vas-0	ESP	40.95	-3.31
9905	Ven-0	ESP	40.76	-4.01
9906	Mah-6	ESP	40	4.25
9910	BRI-2	FRA	50.68	3.52
9915	04/03/2016	FRA	47.45	3.94
9918	SAUL-24	FRA	47.43	5.21
9920	DIR-9	FRA	48.54	4.32
9924	PLY-20	FRA	48.59	4.24
9925	RUM-20	FRA	48.91	4.52
9927	ARR-17	FRA	44.05	3.69
9928	BEZ-9	FRA	44.12	3.77
9933	VED-10	FRA	43.74	3.89
9935	BAU-15	FRA	50.6	2.93
9937	CATS-6	FRA	50.79	2.69
9938	WAV-8	FRA	50.65	2.99
9941	Fei-0	POR	40.92	-8.54
9944	Don-0	ESP	36.83	-6.36
9947	Ped-0	ESP	40.74	-3.9
9992	Dog-4	TUR	38.3	42.22
10006	Kastel-1	UKR	44.64	34.38
10014	Xan-1	AZE	38.65	48.8
10020	Jl-2	CZE	49.17	16.5
6909	Col-0	USA	38.3	-92.3
6932	Ler-1	GER	47.984	10.8719
